Company, Found Date, City, Nation, Industry, Founder, Investor, Total Founding, Company Type, Operating Status, Last Valuation
Yassir, 2017, Algiers, Algeria, Financial Services, El Mahdi Yettou, Alumni Ventures, 217642690, Y, Y, 
Goodera, 2020, Salt Lake City, United States, Events, Abhishek Humbad, xto10x Technologies, 27565103, Y, Y, 
Pearpop, 2020, Los Angeles, United States, Internet, Cole Mason, Bessemer Venture Partners, 34000000, Y, Y, 
Osome, 2017, Singapore, Singapore, Accounting, Victor Lysenko, Illuminate Financial, 49500000, Y, Y, 
Blueground, 2013, New York, United States, Hospitality, Alexandros Chatzieleftheriou, Silicon Valley Bank, 226679151, Y, Y, 
Matter Labs, 2018, Berlin, Germany, Blockchain, Alex Gluchowski, ConsenSys, 258000000, Y, Y, 
Hirect, 2018, San Francisco, United States, Apps, —, Hill Capital Partners, 14600000, Y, Y, 
Azerion, 2014, Schiphol, The Netherlands, Media and Entertainment, Atilla Aytekin, Navus Ventures, 25770743, Y, Y, 
FTX US, 2020, San Francisco, United States, Bitcoin, Gary Wang, Temasek Holdings, 400000000, Y, Y, 
Bira 91, 2015, New Delhi, India, Brewing, Ankur Jain, Sequoia Capital, 283207029, Y, Y, 
Squire, 2015, New York, United States, Consumer, Dave Salvant, Tiger Global Management, 167070000, Y, Y, 
Apiiro, 2018, New York, United States, Cloud Security, Idan Plotnik, General Catalyst, 135000000, Y, Y, 
Zylo, 2016, Indianapolis, United States, Analytics, Ben Pippenger, Bessemer Venture Partners, 66700000, Y, Y, 200000000
LetsVenture, 2013, Singapore, Singapore, Financial Services, Sanjay Jha, Accel, 650000, Y, Y, 
Joy, 2016, San Francisco, United States, Apps, Kaiwalya Kher, Nordstrom, 107107496, Y, Y, 300000000
Sibros, 2018, San Jose, United States, Artificial Intelligence, Hemant Sikaria, Google, 85500050, Y, Y, 
Wakefit, 2016, Bangalore, India, E-Commerce, Ankit Garg, Investcorp, 106056932, Y, Y, 
Skill Lync, 2018, Chennai, India, E-Learning, Sarangarajan Iyengar, Y Combinator, 17650000, Y, Y, 
Promise, 2017, Oakland, United States, Debt Collections, Diana Frappier, Village Global, 48120000, Y, Y, 
Octopus Energy, 2015, London, United Kingdom, Energy, Greg Jackson, Generation Investment Management, 2079000000, Y, Y, 
Aave, 2017, London, United Kingdom, Blockchain, Stani Kulechov, Google, 49000000, Y, Y, 
AiDash, 2019, San Jose, United States, Artificial Intelligence, Abhishek Vinod Singh, SE Ventures, 43000000, Y, Y, 
UPSIDE Foods, 2015, Berkeley, United States, Food and Beverage, Nicholas Genovese, IndieBio, 606000000, Y, Y, 1000000000
Sound Agriculture, 2013, Emeryville, United States, Agriculture, Eric Davidson, National Science Foundation, 170449973, Y, Y, 
Daylight, 2020, West Hollywood, United States, Banking, Billie Simmons, Gaingels, 20000000, Y, Y, 
FrankieOne, 2017, Melbourne, Australia, Developer APIs, Aaron Chipper, AirTree Ventures, $46000000, Y, Y, 
Keyrock, 2017, Woluwé-saint-pierre, Belgium, Asset Management, Juan David Mendieta, Ripple, 78111531, Y, Y, 
Swell Energy, 2014, Santa Monica, United States, Energy, Andrew Meyer, Ares Management, 582000000, Y, Y, 
Runway, 2018, New York, United States, Artificial Intelligence, Alejandro Matamala, Madrona, 95500000, Y, Y, 
Atom Bank, 2014, Durham, United Kingdom, Banking, Anthony Thomson, Banco Bilbao Vizcaya Argentaria, 777898020, Y, Y, 
Spot AI, 2018, Los Altos, United States, Artificial Intelligence, Rish Gupta, Village Global, 62000000, Y, Y, 
Arta Finance, 2021, Mountain View, United States, Finance, Caesar Sengupta, Monk’s Hill Ventures, 90000000, Y, Y, 
First Mode, 2018, Seattle, United States, Aerospace, Joshua Weiss, Anglo American, 208500000, Y, Y, 
Modern Milkman, 2018, Manchester, United Kingdom, Consumer Goods, Becky Hilton, Insight Partners, 83864932, Y, Y, 
GoKwik, 2020, Haryana, India, Artificial Intelligence, Ankush Talwar, RTP Global, 55480286, Y, Y, 
Bilt Rewards, 2021, New York, United States, FinTech, Ankur Jain, GREYSTAR, 213300000, Y, Y, 
Darwinbox, 2015, Hyderabad, India, Artificial Intelligence, Chaitanya Peddi, Microsoft, 110977592, Y, Y, 
Yulu, 2017, Bangalore, India, Electric Vehicle, Amit Gupta, Magna International, 118201067, Y, Y, 
Forethought, 2017, San Francisco, United States, Artificial Intelligence, Colm Doyle, Village Global, 92000000, Y, Y, 315000000
Verdant Robotics, 2018, Hayward, United States, Agriculture, Curtis Garner, Autotech Ventures, 58000000, Y, Y, 
Ragam Kabar, 2022, Yogyakarta, Indonesia, Digital Media, Rika dwi pramusti Rika, —, 11000, Y, Y, 
ZestMoney, 2015, Bangalore, India, Big Data, Ashish Anantharaman, Zip, 120908827, Y, Y, 
Ostro, 2019, Miami, United States, Health Care, Ahmed Elsayyad, Susa Ventures, 45000000, Y, Y, 
FogPharma, 2015, Cambridge, United States, Biopharma, Greg Verdine, Fidelity Management and Research Company, 385271035, Y, Y, 1000000000
StartEngine, 2014, Los Angeles, United States, Crowdfunding, Howard Marks, Pario Ventures, 87608095, Y, Y, 
reAlpha, 2020, Dublin, United States, FinTech, Giri Devanur, Giri Devanur, 206100000, Y, Y, 
Esusu Financial, 2016, New York, United States, Credit, Abbey Wemimo, Plug and Play, 145025000, Y, Y, 
ClickHouse, 2021, Portola Valley, United States, Analytics, Aaron Katz, Yandex, 300000000, Y, Y, 
Saltbox, 2019, Atlanta, United States, E-Commerce, Maxwell Bonnie, Fundrise, 48800000, Y, Y, 
EnsoData, 2015, Madison, United States, Analytics, Brock Hensen, Inspire Medical Systems, 31050000, Y, Y, 
Lime, 2017, San Francisco, United States, Last Mile Transportation, Adam Zhang, Apple, 1458000000, Y, Y, 2400000000
Chattermill, 2015, London, United Kingdom, Analytics, Dmitry Isupov, Entrepreneur First, 42574136, Y, Y, 
OZiva, 2016, Mumbai, India, Dietary Supplements, Aarti Gill, F-Prime Capital, 17000000, Y, Y, 
The EVERY Company, 2015, South San Francisco, United States, Biotechnology, Arturo Elizondo, IndieBio, 239750000, Y, Y, 715000000
Uolo, 2020, Gurgaon, India, E-Learning, Ankur Pandey, Morphosis Venture Capital, 25480323, Y, Y, 
TONIK, 2018, Singapore, Singapore, Banking, Greg Krasnov, Prosus Ventures, 175000000, Y, Y, 
Renee Cosmetics, 2019, Ahmedabad, India, Beauty, Aashka Goradia Goble, Mensa Brands, 38778759, Y, Y, 
Keka HR, 2015, Hyderabad, India, Human Resources, Vijay Yalamanchili, Recur Club, 58600000, Y, Y, 
Repl.it, 2016, San Francisco, United States, Cloud Computing, Amjad Masad, Andreessen Horowitz, 104620000, Y, Y, 
Chief, 2019, New York, United States, Communities, Carolyn Childers, Accel, 140000000, Y, Y, 
MoonPay, 2019, Miami, United States, Financial Services, —, Tiger Global Management, 642000000, Y, Y, 
Cobee, 2018, Madrid, Spain, Employee Benefits, Borja Aranguren Herrera, Speedinvest, 60213476, Y, Y, 
Venture Catalysts, 2016, Mumbai, India, Angel Investment, Anil Jain, Raj Sareen, 500000, Y, Y, 
Xanadu, 2016, Toronto, Canada, Big Data, Christian Weedbrook, Alumni Ventures, 235621647, Y, Y, 
Ultraviolette Automotive, 2016, Bangalore, India, Automotive, Narayan Subramaniam, Qualcomm Ventures, 29819231, Y, Y, 
Goodleaf Farms, 2015, Guelph, Canada, Agriculture, Gregg Curwin, McCain Foods, 189730000, Y, Y, 
Bambee, 2016, Los Angeles, United States, Human Resources, Allan Jones, SoftBank, 63000000, Y, Y, 
Ava Labs, 2018, Brooklyn, United States, Blockchain, Emin Gün Sirer, Andreessen Horowitz, 290050000, Y, Y, 
Ostrom, 2021, Berlin, Germany, Clean Energy, Karl Villanueva, Global Founders Capital, 14712858, Y, Y, 
Swiftly, 2018, Seattle, United States, E-Commerce, Daniel Kim, Gaingels, 215600000, Y, Y, 
SeedFi, 2019, San Francisco, United States, Credit, Bernardo Menezes, Cross River, 69000000, Y, Y, 
Sierra Space, 2021, Louisville, United States, Aerospace, —, Coatue, 1400000000, Y, Y, 
